intitule,type,adresse,codepostal,ville,telephone,latitude,longitude,
Tribunal de Grande Instance de Mont-de-Marsan,GRANDE_INSTANCE,5 Avenue du 8 mai 1945 B.P. 315 ,40,MONT DE MARSAN,+33 5 58 85 41 85,43.893023,-0.501646,
Tribunal de Grande Instance de Bordeaux,GRANDE_INSTANCE,  30 Rue des Frères Bonie,33,BORDEAUX CEDEX,+33 5 47 33 90 00,44.836622,-0.580456,
Tribunal de Grande Instance de Toulouse,GRANDE_INSTANCE,2 Allée Jules Guesde B.P. 7015 ,31,TOULOUSE CEDEX 7,+33 5 61 33 70 00,43.593022,1.444409,
Tribunal de Grande Instance de Montbéliard,GRANDE_INSTANCE,Cité Judiciaire Rue Mozart ,25,MONTBELIARD CEDEX,+33 3 81 90 70 00,47.5118726,6.7997133,
Tribunal de Grande Instance de Besançon,GRANDE_INSTANCE,1 Rue Mégevand B.P. 459 ,25,BESANCON,+33 3 81 61 60 00,47.236418,6.022855,
Tribunal de Grande Instance de Reims,GRANDE_INSTANCE,  Place Myron Herrick,51,REIMS CEDEX,+33 3 26 49 53 51,49.2545811,4.0317319,
Tribunal de Grande Instance de Cherbourg,GRANDE_INSTANCE,15 Rue des Tribunaux B.P. 740 ,50,CHERBOURG OCTEVILLE CEDEX,+33 2 33 01 61 61,49.638055,-1.62321,
Tribunal de Grande Instance de Laval,GRANDE_INSTANCE,13 Place Saint Tugal B.P. 81515 ,53,LAVAL,+33 2 43 49 57 00,48.06931,-0.77361,
Tribunal de Grande Instance de Dijon,GRANDE_INSTANCE,Cité Judiciaire 13 Bld Clémenceau   BP 13313 ,21,DIJON CEDEX,+33 3 80 70 45 00,47.323411,5.045469,
Tribunal de Grande Instance de Bar-le-Duc,GRANDE_INSTANCE,  21-25 place Saint-Pierre,55,BAR LE DUC,+33 3 29 79 02 95,48.769016,5.159238,
Tribunal de Grande Instance de Nancy,GRANDE_INSTANCE,Cité Judiciaire Rue du Général Fabvier ,54,NANCY CEDEX,+33 3 83 90 85 00,48.6776425,6.1757727,
Tribunal de Grande Instance d'Angers,GRANDE_INSTANCE,Palais de Justice Rue Waldeck Rousseau ,49,ANGERS CEDEX,+33 2 41 20 51 00,47.4712741,-0.5440579,
Tribunal de Grande Instance d'Orléans,GRANDE_INSTANCE,  7 Rue des Huguenots,45,ORLEANS CEDEX 1,+33 2 38 74 58 34,47.9049637,1.9072668,
Tribunal de Grande Instance de Lons-le-Saunier,GRANDE_INSTANCE,11 Rue Pasteur B.P. 20344 ,39,LONS LE SAUNIER CEDEX,+33 3 84 35 13 00,46.67339,5.556862,
Tribunal de Grande Instance de Thionville,GRANDE_INSTANCE,Quai Pierre Marchal B.P. 80348 ,57,THIONVILLE CEDEX,+33 3 82 82 43 50,49.357654,6.169112,
Tribunal de Grande Instance de Bourgoin-Jallieu,GRANDE_INSTANCE,10 Rue du Tribunal B.P. 648 ,38,BOURGOIN JALLIEU CEDEX,+33 4 74 28 78 78,45.586789,5.276511,
Tribunal de Grande Instance de Libourne,GRANDE_INSTANCE,22 Rue Thiers B.P. 202 ,33,LIBOURNE CEDEX,+33 5 57 55 36 80,44.913816,-0.244407,
Tribunal de Grande Instance de Colmar,GRANDE_INSTANCE,  Place du Marché aux Fruits,68,COLMAR CEDEX,+33 3 89 20 56 00,48.075511,7.3584175,
Tribunal de Grande Instance de Boulogne-sur-Mer,GRANDE_INSTANCE,  Place de la Résistance,62,BOULOGNE SUR MER,+33 3 21 99 61 00,50.725134,1.612177,
Tribunal de Grande Instance de Béthune,GRANDE_INSTANCE,Place Lamartine B.P. 716 ,62,BETHUNE CEDEX,+33 3 21 68 72 00,50.534256,2.638276,
Tribunal de Grande Instance d'Argentan,GRANDE_INSTANCE,2 Rue des Anciens Combattants B.P. 70211 ,61,ARGENTAN CEDEX,+33 2 33 67 97 97,48.743269,-0.019443,
Tribunal de Grande Instance d'Alençon,GRANDE_INSTANCE,Place du Maréchal Foch BP 355 ,61,ALENCON,+33 2 33 82 25 00,48.430277,0.0828104,
Consultations juridiques gratuites,GRANDE_INSTANCE,Tribunal de Grande Instance (TGI) 23; rue du Palais ,52,CHAUMONT,03.25.32.84.20,48.115061,5.141364,
Tribunal de Grande Instance de Dunkerque,GRANDE_INSTANCE,Place du Palais de Justice B.P. 6365 ,59,DUNKERQUE CEDEX 1,+33 3 28 23 53 00,51.031136,2.374939,
Tribunal de Grande Instance de Vannes,GRANDE_INSTANCE,22 Place de la République B.P. 503 ,56,VANNES CEDEX,+33 2 97 43 77 00,47.656336,-2.761394,
Tribunal de Grande Instance de Niort,GRANDE_INSTANCE,2 Rue du Palais B.P. 8819 ,79,NIORT CEDEX,+33 5 49 77 22 50,46.323334,-0.466306,
Tribunal de Grande Instance de Fontainebleau,GRANDE_INSTANCE,  159 rue Grande,77,FONTAINEBLEAU,+33 1 60 71 23 00,48.443691,2.609939,
Tribunal de Grande Instance de Sens,GRANDE_INSTANCE,1 Rue du Palais de Justice B.P. 810 ,89,SENS,+33 3 86 65 86 00,48.196322,3.277018,
Tribunal de Grande Instance d'Amiens,GRANDE_INSTANCE,Palais de Justice 14 Rue Robert de Luzarches ,80,AMIENS CEDEX 1,+33 3 22 82 35 00,49.893275,2.301079,
Tribunal de Grande Instance d'Evry,GRANDE_INSTANCE,  9 Rue des Mazières,91,EVRY CEDEX,+33 1 60 76 78 00,48.6297484,2.4309592,
Tribunal de Grande Instance de Melun,GRANDE_INSTANCE,  2 Avenue du Général Leclerc,77,MELUN,+33 1 64 79 80 00,48.527225,2.653534,
Tribunal de Grande Instance du Havre,GRANDE_INSTANCE,Palais de Justice 133 Bld de Strasbourg   B.P. 6 ,76,LE HAVRE CEDEX,+33 2 32 92 57 00,49.490686,0.130741,
Tribunal de Grande Instance de Dieppe,GRANDE_INSTANCE,Palais de Justice  Square Carnot B.P. 229 ,76,DIEPPE CEDEX,+33 2 35 82 75 55,49.924564,1.083359,
Tribunal de Grande Instance de Verdun,GRANDE_INSTANCE,Place Saint-Paul Case Officielle 724 ,55,VERDUN CEDEX,+33 3 29 86 14 05,49.16373,5.384349,
Tribunal de Grande Instance d'Avesnes-sur-Helpe,GRANDE_INSTANCE,Plateau Chemerault 11 Rue Mal Joffre BP 205 ,59,AVESNES SUR HELPE,+33 3 27 57 78 00,50.123487,3.92827,
Tribunal de Grande Instance de Cambrai,GRANDE_INSTANCE,Château de Selles B.P. 379 ,59,CAMBRAI CEDEX,+33 3 27 73 37 37,50.181597,3.224868,
Tribunal de Grande Instance de Douai,GRANDE_INSTANCE,  47 Rue Merlin de Douai,59,DOUAI,+33 3 27 93 27 00,50.3691673,3.0782007,
Tribunal de Grande Instance de Lille,GRANDE_INSTANCE,13 Avenue du Peuple Belge B.P. 729 ,59,LILLE CEDEX,+33 3 20 78 33 33,50.643791,3.061791,
Tribunal de Grande Instance de Valenciennes,GRANDE_INSTANCE,13 Rue Capron B.P. 349 ,59,VALENCIENNES,+33 3 27 14 67 00,50.356788,3.521028,
Tribunal de Grande Instance de Digne-les-Bains,GRANDE_INSTANCE,6 place des Récollets BP 112 ,4,DIGNE LES BAINS,+33 4 92 31 05 21,44.092,6.239312,
Tribunal de Grande Instance de Senlis,GRANDE_INSTANCE,Cité Judiciaire Boulevard Pasteur B.P. 112 ,60,SENLIS CEDEX,+33 3 44 53 91 00,49.210439,2.58386,
Tribunal de Grande Instance de Privas,GRANDE_INSTANCE,  Cours du Palais,7,PRIVAS,+33 4 75 66 40 00,44.734646,4.60017,
Tribunal de Grande Instance de Gap,GRANDE_INSTANCE,Palais de Justice Place Saint-Arnoux     B.P. 77 ,5,GAP CEDEX,+33 4 92 40 70 00,44.5573985249,6.07751415079,
Tribunal de Grande Instance de Carcassonne,GRANDE_INSTANCE,28 Boulevard Jean-Jaurès B.P. 818 ,11,CARCASSONNE,+33 4 68 10 37 37,43.214867,2.354691,
Tribunal de Grande Instance d'Epinal,GRANDE_INSTANCE,  Place Edmond Henry,88,EPINAL,+33 3 29 34 53 53,48.1745814,6.4515713,
Tribunal de Grande Instance de Saintes,GRANDE_INSTANCE,Square Maréchal Foch CS 80324 ,17,SAINTES CEDEX,+33 5 46 92 72 27,45.747428,-0.633681,
Tribunal de Grande Instance de Narbonne,GRANDE_INSTANCE,19 Bld du Général de Gaulle B.P. 810 ,11,NARBONNE CEDEX,+33 4 34 44 60 60,43.185887,3.009311,
Tribunal de Grande Instance d'Evreux,GRANDE_INSTANCE,Palais de Justice 30 Rue Joséphine ,27,EVREUX CEDEX,+33 2 32 29 55 00,49.023877,1.15966,
Tribunal de Grande Instance de Bourges,GRANDE_INSTANCE,  8 rue des Arènes,18,BOURGES,+33 2 48 68 34 34,47.0849533,2.3929755,
Tribunal de Grande Instance de Bobigny,GRANDE_INSTANCE,Palais de Justice 173 Av Paul Vaillant Couturier ,93,BOBIGNY CEDEX,+33 1 48 95 13 93,48.908821,2.450397,
Tribunal de Grande Instance d'Alès,GRANDE_INSTANCE,Palais de Justice 3 Place Henri Barbusse ,30,ALES CEDEX,+33 4 66 56 22 50,44.124222,4.080314,
Tribunal de Grande Instance de Bastia,GRANDE_INSTANCE,  Rond Point de Moro Giafferi,20,BASTIA CEDEX,+33 4 95 55 23 00,42.7021365,9.4507475,
Tribunal de Grande Instance de Châteauroux,GRANDE_INSTANCE,Place Lucien Germereau B.P. 577 ,36,CHATEAUROUX,+33 2 54 60 35 35,46.807167,1.693225,
Tribunal de Grande Instance d'Auch,GRANDE_INSTANCE,  Allée d'Etigny,32,AUCH,+33 5 62 61 67 00,43.64811,0.582501,
Tribunal de Grande Instance de Nantes,GRANDE_INSTANCE,  19 Quai François Mitterrand,44,NANTES CEDEX 9,+33 2 51 17 95 00,47.2082993,-1.5627272,
Tribunal de Grande Instance du Puy-en-Velay,GRANDE_INSTANCE,Place du Breuil CS90335 ,43,LE PUY EN VELAY,+33 4 71 09 05 70,45.042006,3.883505,
Tribunal de Grande Instance de Montargis,GRANDE_INSTANCE,  84 Rue du Général Leclerc,45,MONTARGIS CEDEX,+33 2 38 87 59 00,47.9988918,2.7297794,
Tribunal de Grande Instance de Saint-Nazaire,GRANDE_INSTANCE,77 Rue Albert de Mun B.P. 263 ,44,ST NAZAIRE,+33 2 72 27 30 30,47.278845,-2.214212,
Tribunal de Grande Instance d'Agen,GRANDE_INSTANCE,  Place Armand Fallières,47,AGEN,+33 5 53 77 95 00,44.2007546,0.6172994,
Tribunal de Grande Instance de Cahors,GRANDE_INSTANCE,Boulevard Léon Gambetta B.P. 289 ,46,CAHORS,+33 5 65 23 46 50,44.450094,1.440018,
Tribunal de Grande Instance de Châlons-en-Champagne,GRANDE_INSTANCE,  2 Quai Eugène Perrier,51,CHALONS EN CHAMPAGNE,+33 3 26 69 27 27,48.9589712,4.3615452,
Tribunal de Grande Instance de Belfort,GRANDE_INSTANCE,  9 place de la République,90,BELFORT,+33 3 84 58 53 00,47.639285,6.861898,
Tribunal de Grande Instance de Pontoise,GRANDE_INSTANCE,3 rue Victor Hugo BP 95220 ,95,CERGY PONTOISE CEDEX,+33 1 72 58 70 00,49.039049,2.044611,
Tribunal de Grande Instance de Créteil,GRANDE_INSTANCE,  Rue Pasteur Vallery Radot,94,CRETEIL CEDEX,+33 1 49 81 16 00,48.7836024,2.4423209,
Tribunal de Grande Instance de Pointe-à-Pitre,GRANDE_INSTANCE,  Place Gourbeyre,97,POINTE A PITRE,+33 5 90 89 69 50,16.2411111,-61.5330556,
Tribunal de Grande Instance de Basse-Terre,GRANDE_INSTANCE,  4 Boulevard Félix Eboué,97,BASSE TERRE,+33 5 90 80 63 63,16.2681696,-61.5857963,
Tribunal de Grande Instance de Fort-de-France,GRANDE_INSTANCE,Palais de Justice 35 Bd du Gal de Gaulle   BP 633 ,97,FORT DE FRANCE,+33 5 96 48 41 41,14.637392,-61.069045,
Tribunal de Première Instance de Papeete,GRANDE_INSTANCE,42 Avenue Bruat B.P. 4633 ,98,PAPEETE,+689 41 55 00,-17.5430158023,-149.570898554,
Tribunal de Grande Instance de Vesoul,GRANDE_INSTANCE,Place du Palais B.P. 387 ,70,VESOUL CEDEX,+33 3 84 78 58 00,47.623709,6.157897,
Tribunal de Grande Instance d'Albertville,GRANDE_INSTANCE,Avenue des Chasseurs Alpins B.P. 125 ,73,ALBERTVILLE CEDEX,+33 4 79 32 43 14,45.671754,6.391712,
Tribunal de Grande Instance de Chambéry,GRANDE_INSTANCE,Place du Palais de Justice B.P. 1023 ,73,CHAMBERY CEDEX,+33 4 79 33 60 09,45.568124,5.918642,
Tribunal de Grande Instance de Guéret,GRANDE_INSTANCE,  23 Place Bonnyaud,23,GUERET,+33 5 55 51 93 59,46.1690274,1.870893,
Tribunal de Grande Instance de Valence,GRANDE_INSTANCE,Place du Palais de Justice B.P. 2113 ,26,VALENCE CEDEX,+33 4 75 75 49 49,44.930308,4.927628,
Tribunal de Grande Instance de Chartres,GRANDE_INSTANCE,  3 Rue Saint-Jacques,28,CHARTRES,+33 2 37 18 77 00,48.450043,1.486194,
Tribunal de Grande Instance d'Arras,GRANDE_INSTANCE,Place des Etats d'Artois B.P. 924 ,62,ARRAS,+33 3 21 51 52 06,50.290256,2.776262,
Tribunal de Grande Instance de Coutances,GRANDE_INSTANCE,Rue du Palais de Justice B.P. 719 ,50,COUTANCES CEDEX,+33 2 33 76 68 20,49.049118,-1.442756,
Tribunal de Grande Instance d'Annecy,GRANDE_INSTANCE,Palais de Justice Novarina 51 rue Sommeiller  BP 2321 ,74,ANNECY CEDEX,+33 4 50 10 17 00,45.892502,6.121093,
Tribunal de Grande Instance de Bonneville,GRANDE_INSTANCE,Quai du Parquet B.P. 136 ,74,BONNEVILLE CEDEX,+33 4 50 25 48 00,46.077725,6.405639,
Tribunal de Grande Instance de Thonon-les-Bains,GRANDE_INSTANCE,10; rue de l'Hôtel Dieu B.P. 50 529 ,74,THONON LES BAINS,+33 4 50 81 20 00,46.369265,6.478767,
Tribunal de Grande Instance de Paris,GRANDE_INSTANCE,  4 Boulevard du Palais,75,PARIS,+33 1 44 32 51 51,48.8548767,2.3454235,
Tribunal de Grande Instance de la Roche-sur-Yon,GRANDE_INSTANCE,55 Boulevard Aristide Briand B.P. 833 ,85,LA ROCHE SUR YON CEDEX,+33 2 51 47 61 00,46.66577,-1.429974,
Tribunal de Grande Instance des Sables-d'Olonne,GRANDE_INSTANCE,Place du Palais de Justice B.P. 10365 ,85,LES SABLES D'OLONNE,+33 2 51 23 77 00,46.495087,-1.788672,
Tribunal de Grande Instance d'Albi,GRANDE_INSTANCE,  place Lapérouse,81,ALBI,+33 5 63 49 49 80,43.925561,2.144701,
Tribunal de Grande Instance de Castres,GRANDE_INSTANCE,4 Rue du Palais B.P. 409 ,81,CASTRES,+33 5 63 51 93 00,43.605796,2.23817,
Tribunal de Grande Instance de Montauban,GRANDE_INSTANCE,  Place du Coq,82,MONTAUBAN,+33 5 63 21 40 00,44.016847,1.353339,
Tribunal de Grande Instance de Toulon,GRANDE_INSTANCE,Place Gabriel Péri B.P. 506 ,83,TOULON CEDEX 9,+33 4 94 09 60 00,43.126293,5.925389,
Tribunal d'Instance de Toulon,INSTANCE,140 Bd Général Leclerc B.P. 507,83,TOULON CEDEX 9,+33 4 94 18 93 12,43.125717,5.928309,
Tribunal d'Instance d'Albi,INSTANCE,Place du Palais B.P. 156,81,ALBI,+33 5 63 54 15 12,43.9266871,2.1459039,
Tribunal d'Instance de Castres,INSTANCE,4 Rue du Palais B.P. 409,81,CASTRES,+33 5 63 51 93 00,43.605796,2.23817,
Tribunal d'Instance de Bressuire,INSTANCE,1 bis boulevard Joffre ,79,BRESSUIRE,+33 5 49 65 87 32,46.83937,-0.4890378,
Tribunal d'Instance de Niort,INSTANCE,18 Rue Marcel Paul-Espace Thémis B.P. 8820,79,NIORT CEDEX,+33 5 49 05 45 40,46.324538,-0.470879,
Tribunal d'Instance de Paris 19ème,INSTANCE,Immeuble Le Brabant 11 rue Cambrai,75,PARIS,+33 1 53 38 80 60,48.895903,2.381425,
Tribunal d'Instance de Paris 20ème,INSTANCE,Mairie 6 Place Gambetta,75,PARIS,+33 1 47 97 19 52,48.884589,2.340359,
Tribunal d'Instance de Paris 17ème,INSTANCE,Mairie 16/18 rue des Batignolles,75,PARIS,+33 1 45 22 74 97,48.884589,2.340359,
Tribunal d'Instance de Paris 18ème,INSTANCE,Mairie 1 Place Jules Joffrin,75,PARIS,+33 1 49 25 83 25,48.884589,2.340359,
Tribunal d'Instance de Paris 15ème,INSTANCE,154 rue Lecourbe ,75,PARIS,+33 1 53 68 77 80,48.841564,2.299121,
Tribunal d'Instance de Paris 16ème,INSTANCE,Mairie 71 Avenue Henri Martin,75,PARIS,+33 1 45 04 44 82,48.884589,2.340359,
Tribunal d'Instance de Paris 13ème,INSTANCE,Mairie 3 Rue Philippe de Champagne,75,PARIS,+33 1 44 08 79 00,48.884589,2.340359,
Tribunal d'Instance de Paris 14ème,INSTANCE,Mairie 26 Rue Mouton Duvernet,75,PARIS,+33 1 45 39 43 53,48.884589,2.340359,
Tribunal d'Instance de Paris 11ème,INSTANCE,91 rue Oberkampf ,75,PARIS,+33 1 43 57 81 45,48.8652726,2.3756662,
Tribunal d'Instance de Paris 12ème,INSTANCE,Mairie 130 Avenue Daumesnil,75,PARIS,+33 1 43 43 14 56,48.884589,2.340359,
Tribunal d'Instance de Paris 9ème,INSTANCE,Mairie 9 Bis Rue Drouot,75,PARIS,+33 1 45 23 33 92,48.884589,2.340359,
Tribunal d'Instance de Paris 10ème,INSTANCE,Mairie 52 Rue du Château d'Eau,75,PARIS,+33 1 40 40 40 70,48.884589,2.340359,
Tribunal d'Instance de Paris 7ème,INSTANCE,Mairie 116 Rue de Grenelle,75,PARIS,+33 1 45 51 86 37,48.884589,2.340359,
Tribunal d'Instance de Paris 8ème,INSTANCE,Mairie 3 Rue de Lisbonne,75,PARIS,+33 1 45 22 10 22,48.884589,2.340359,
Tribunal d'Instance de Paris 5ème,INSTANCE,Mairie 21 Place du Panthéon,75,PARIS,+33 1 43 26 54 43,48.884589,2.340359,
Tribunal d'Instance de Paris 6ème,INSTANCE,Mairie 78 Rue Bonaparte,75,PARIS,+33 1 46 34 21 00,48.884589,2.340359,
Tribunal d'Instance de Paris 2ème,INSTANCE,Mairie 8 Rue de la Banque,75,PARIS,+33 1 44 55 35 95,48.884589,2.340359,
Tribunal d'Instance de Paris 3ème,INSTANCE,Mairie 2 Rue Eugène Spuller,75,PARIS,+33 1 53 01 90 50,48.884589,2.340359,
Tribunal d'Instance de Saint-Benoit,INSTANCE,2 Rue Philibert B.P. 121,97,ST BENOIT,+33 2 62 50 37 29,-21.034627,55.711672,
Tribunal d'Instance de Saint-Denis-de-La Réunion,INSTANCE,5 Avenue André Malraux Champ Fleuri      B.P. 338,97,STE CLOTILDE CEDEX,+33 2 62 40 22 40,-20.888016,55.46583,
Tribunal d'Instance de Sannois,INSTANCE,5 Square Jules Ferry ,95,SANNOIS,+33 1 39 81 01 38,48.9694204,2.2568702,
Tribunal d'Instance de Beaune,INSTANCE,Rue du Tribunal B.P. 187,21,BEAUNE CEDEX,+33 3 80 25 03 80,47.023336,4.840481,
Tribunal d'Instance de Montreuil (93),INSTANCE,62 Rue Franklin ,93,MONTREUIL,+33 1 48 58 82 53,48.8635771,2.4442126,
Tribunal d'Instance d'Etampes,INSTANCE,Palais de Justice 1 Rue Aristide Briand   B.P. 117,91,ETAMPES CEDEX,+33 1 64 94 61 45,48.426767,2.153289,
Tribunal d'Instance de Belfort,INSTANCE,5 Place de la République B.P. 791,90,BELFORT,+33 3 84 28 16 21,47.639034,6.861215,
Tribunal d'Instance de Saint-Dié-des-Vosges,INSTANCE,16 Rue de la Meurthe B.P. 244,88,ST DIE DES VOSGES CEDEX,+33 3 29 53 52 52,48.282784,6.946582,
Tribunal d'Instance des Sables-d'Olonne,INSTANCE,20 rue Nicot ,85,LES SABLES D'OLONNE,+33 2 51 95 10 45,46.498713,-1.783228,
Tribunal d'Instance de Fontenay-le-Comte,INSTANCE,26 Rue Rabelais B.P. 49,85,FONTENAY LE COMTE CEDEX,+33 2 51 69 00 33,46.46781,-0.812517,
Tribunal d'Instance de La Roche-sur-Yon,INSTANCE,55 Boulevard Aristide Briand B.P. 833,85,LA ROCHE SUR YON CEDEX,+33 2 51 05 31 31,46.66577,-1.429974,
Tribunal d'Instance de Redon,INSTANCE,3 Rue Joseph Desmars B.P. 50348,35,REDON CEDEX,+33 2 99 71 11 34,47.650838,-2.082367,
Tribunal d'Instance de Saint-Malo,INSTANCE,2 rue Toulier CS 51731,35,ST MALO,+33 2 23 18 50 10,48.649971,-2.026743,
Tribunal d'Instance d'Arcachon,INSTANCE,Place Lucien de Gracia ,33,ARCACHON CEDEX,+33 5 56 83 14 66,44.6611091,-1.1705374,
Tribunal d'Instance de Béziers,INSTANCE,Place de la Révolution B.P. 604,34,BEZIERS,+33 4 67 49 60 00,43.34146,3.210654,
Tribunal d'Instance de Thonon-les-Bains,INSTANCE,10; rue de l'Hôtel Dieu B.P. 10 516,74,THONON LES BAINS,+33 4 50 81 20 00,46.369265,6.478767,
Tribunal d'Instance de Paris 1er,INSTANCE,Mairie 4 Place du Louvre,75,PARIS,+33 1 42 44 18 18,48.884589,2.340359,
Tribunal d'Instance d'Annecy,INSTANCE,19 Avenue du Parmelan B.P. 2322,74,ANNECY CEDEX,+33 4 50 33 38 00,45.905339,6.132152,
Tribunal d'Instance de Bonneville,INSTANCE,18 Quai du Parquet B.P. 136,74,BONNEVILLE CEDEX,+33 4 50 25 48 30,46.076837,6.406326,
Tribunal d'Instance d'Albertville,INSTANCE,5 Avenue des Chasseurs Alpins B.P. 125,73,ALBERTVILLE CEDEX,+33 4 79 32 04 77,45.67369,6.392402,
Tribunal d'Instance de Chambéry,INSTANCE,Place du Palais de Justice ,73,CHAMBERY CEDEX,+33 4 79 33 60 09,45.5680849,5.9193652,
Tribunal d'Instance de Lure,INSTANCE,Place de la Libération B.P. 25,70,LURE CEDEX,+33 3 84 30 22 41,47.6850496,6.4930612,
Tribunal d'Instance de Vesoul,INSTANCE,6 Place du Palais B.P. 387,70,VESOUL CEDEX,+33 3 84 76 32 22,47.623789,6.158194,
Tribunal d'Instance de Villefranche-sur-Saône,INSTANCE,Palais de Justice 350 Boulevard Gambetta   BP 304,69,VILLEFRANCHE SUR SAONE,+33 4 74 65 76 90,45.9898649,4.7187518,
Tribunal d'Instance de Guebwiller,INSTANCE,1 Place Saint-Léger B.P. 229,68,GUEBWILLER CEDEX,+33 3 89 62 17 20,47.911771,7.208557,
Tribunal d'Instance de Thann,INSTANCE,41 Pl Mal de Lattre de Tassigny B.P. 40070,68,THANN CEDEX,+33 3 89 37 08 48,47.815894,7.099736,
Tribunal d'Instance de Saverne,INSTANCE,7 Rue du Tribunal B.P. 50135,67,SAVERNE CEDEX,+33 3 88 71 61 51,48.74059,7.364851,
Tribunal d'Instance de Strasbourg,INSTANCE,45 Rue du Fossé des Treize B.P. 444,67,STRASBOURG CEDEX,+33 3 88 15 59 00,48.590302,7.746057,
Tribunal d'Instance de Riom,INSTANCE,Rue Jean de Berry B.P. 26,63,RIOM CEDEX,+33 4 73 33 70 80,45.8949494,3.1169151,
Tribunal d'Instance de Bayonne,INSTANCE,17 Avenue de la Légion Tchèque ,64,BAYONNE,+33 5 59 44 54 80,43.491791,-1.485132,
Tribunal d'Instance de Calais,INSTANCE,Palais de Justice 15 Place Crèvecoeur,62,CALAIS CEDEX,+33 3 21 36 37 69,50.94443,1.859593,
Tribunal d'Instance de Saint-Omer,INSTANCE,7 place Victor Hugo BP 10191,62,ST OMER CEDEX,+33 3 21 12 07 00,50.7483768,2.2524261,
Tribunal d'Instance de Béthune,INSTANCE,22 Rue d'Aire B.P. 808,62,BETHUNE CEDEX,+33 3 21 63 14 30,50.535733,2.637618,
Tribunal d'Instance de Boulogne-sur-Mer,INSTANCE,164 Rue Faidherbe B.P. 337,62,BOULOGNE SUR MER,+33 3 21 33 82 22,50.726567,1.608719,
Tribunal d'Instance de Compiègne,INSTANCE,Commune,60,COMPIEGNE,+33 3 44 38 58 00,49.417087,2.82813,
Tribunal d'Instance de Senlis,INSTANCE,1 Allée des Soupirs B.P. 112,60,SENLIS CEDEX,+33 3 44 53 91 70,49.208952,2.580847,
Tribunal d'Instance de Valenciennes,INSTANCE,18 Place du 8 Mai 1945 B.P. 379,59,VALENCIENNES,+33 3 27 20 23 00,50.356805,3.518359,
Tribunal d'Instance de Douai,INSTANCE,66 Rue Saint-Julien B.P. 828,59,DOUAI,+33 3 27 99 95 95,50.371221,3.076432,
Tribunal d'Instance de Sarreguemines,INSTANCE,Place du Général Sibille B.P. 71129,57,SARREGUEMINES CEDEX,+33 3 87 28 31 00,49.108781,7.068461,
Tribunal d'Instance de Cambrai,INSTANCE,Château de Selles B.P. 381,59,CAMBRAI CEDEX,+33 3 27 73 37 37,50.181597,3.224868,
Tribunal d'Instance de Saint-Avold,INSTANCE,37 Avenue Clémenceau B.P. 20029,57,ST AVOLD CEDEX,+33 3 87 92 11 55,49.107291,6.704991,
Tribunal d'Instance de Sarrebourg,INSTANCE,52 Avenue Clémenceau B.P. 50184,57,SARREBOURG CEDEX,+33 3 87 23 71 82,48.732841,7.055359,
Tribunal d'Instance de Lunéville,INSTANCE,7 Rue du Château B.P. 158,54,LUNEVILLE,+33 3 83 74 04 27,48.593818,6.491962,
Tribunal d'Instance de Verdun,INSTANCE,Place Saint-Paul ,55,VERDUN CEDEX,+33 3 29 86 88 00,49.163768,5.3844849,
Tribunal d'Instance de Briey,INSTANCE,Place de l'Eglise B.P. 139,54,BRIEY CEDEX,+33 3 82 46 04 82,49.252821,5.974587,
Tribunal d'Instance de Cholet,INSTANCE,Jardin du Mail B.P. 1425,49,CHOLET CEDEX,+33 2 41 65 06 62,47.059815,-0.882626,
Tribunal d'Instance de Cherbourg,INSTANCE,38 Rue François La Vieille ,50,CHERBOURG OCTEVILLE CEDEX,+33 2 33 78 15 30,49.641448,-1.625594,
Tribunal d'Instance de Villeneuve-sur-Lot,INSTANCE,6 Rue du Gal Lafon de Blaniac ,47,VILLENEUVE SUR LOT,+33 5 53 49 64 00,44.426811,0.747856,
Tribunal d'Instance de Martigues,INSTANCE,Place de la Libération B.P. 122,13,MARTIGUES CEDEX,+33 4 42 13 50 25,43.405032,5.054811,
Tribunal d'Instance de Figeac,INSTANCE,1 boulevard Juskiewenski ,46,FIGEAC,+33 5 65 50 03 20,44.607426,2.031046,
Tribunal d'Instance de Montbrison,INSTANCE,Palais de Justice B.P. 259,42,MONTBRISON CEDEX,+33 4 77 96 66 66,45.609722,4.064276,
Tribunal d'Instance de Roanne,INSTANCE,5 Place Georges Clémenceau B.P. 513,42,ROANNE CEDEX,+33 4 77 44 48 24,46.039881,4.072387,
Tribunal d'Instance de Dax,INSTANCE,Rue des Fusillés B.P. 355,40,DAX,+33 5 58 74 27 98,43.709466,-1.051532,
Tribunal d'Instance de Mont-de-Marsan,INSTANCE,Cité Galliane 3 avenue Dufau,40,MONT DE MARSAN,+33 5 58 85 75 75,43.89366,-0.494947,
Tribunal d'Instance de Saint-Claude,INSTANCE,12 Rue Rosset ,39,ST CLAUDE,+33 3 84 45 31 12,46.3882042,5.865799,
Tribunal d'Instance de Saint-Etienne,INSTANCE,Place du Palais de Justice ,42,ST ETIENNE CEDEX 1,+33 4 77 43 22 61,45.4379283,4.3842586,
Tribunal d'Instance de La Rochelle,INSTANCE,67 Rue de Jéricho ,17,LA ROCHELLE,+33 5 46 27 63 64,46.167324,-1.166238,
Tribunal d'Instance de Dijon,INSTANCE,Cité Judiciaire 13 Bld Clémenceau B.P. 51,21,DIJON CEDEX,+33 3 80 70 45 25,47.323411,5.045469,
